num_threads,square_sizes,time_elapsed
1,1,0.0000050000
1,10,0.0000080000
1,100,0.0036650000
1,500,0.4423210000
1,1000,3.5381190000
1,3000,96.0025960000
2,1,0.0000810000
2,10,0.0000860000
2,100,0.0019440000
2,500,0.2215120000
2,1000,1.7689590000
2,3000,48.0341030000
4,1,0.0001730000
4,10,0.0001740000
4,100,0.0011850000
4,500,0.1117110000
4,1000,0.8858780000
4,3000,24.1514500000
8,1,0.0003990000
8,10,0.0003680000
8,100,0.0014710000
8,500,0.0564960000
8,1000,0.4451750000
8,3000,12.1150570000
16,1,0.0008320000
16,10,0.0007710000
16,100,0.0010780000
16,500,0.0553290000
16,1000,0.2711340000
16,3000,6.2063330000
32,1,0.0031310000
32,10,0.0124700000
32,100,0.0061370000
32,500,0.0333200000
32,1000,0.2274040000
32,3000,4.5165270000
64,1,0.0207230000
64,10,0.0160540000
64,100,0.0176570000
64,500,0.0387940000
64,1000,0.1494080000
64,3000,2.8426930000
128,1,0.0257780000
128,10,0.0305490000
128,100,0.0388160000
128,500,0.0477720000
128,1000,0.0971960000
128,3000,2.0347980000
256,1,0.0532910000
256,10,0.0474490000
256,100,0.0459430000
256,500,0.0493460000
256,1000,0.1092440000
256,3000,1.7020050000
512,1,0.0240690000
512,10,0.0249430000
512,100,0.0252160000
512,500,0.0471270000
512,1000,0.1057300000
512,3000,1.5511920000
